n_proc	time
1	16.434177
2	11.431865
3	11.975290
4	9.474822
5	9.094808
6	7.872847
7	7.041682
8	6.467772
9	5.806927
10	5.380155
11	4.738203
12	4.639032
13	4.131194
14	4.063921
15	3.619497
16	3.679028
