n_proc	time
1	8.252
2	4.136
3	2.767
4	2.083
5	1.681
6	1.404
7	1.214
8	1.072
9	0.947
10	0.861
11	0.788
12	0.718
13	0.669
14	0.620
15	0.583
16	0.554
