n_proc	n_run	time
1	1	5.147596379276365
2	1	2.0713276211172342
3	1	2.439120780210942
4	1	1.086858845781535
5	1	0.807909909170121
6	1	0.6723811030387878
7	1	0.5590853248722851
8	1	0.486909088678658
9	1	0.4226334961131215
10	1	0.39001765102148056
11	1	0.3623901419341564
12	1	0.3571295910514891
13	1	0.3183177332393825
14	1	0.3152441852726042
15	1	0.30202635610476136
16	1	0.30555799417197704
17	1	0.31615026388317347
18	1	0.3232712051831186
19	1	0.31906316336244345
20	1	0.4870737730525434
21	1	0.4670380321331322
22	1	0.44886945420876145
23	1	0.41562123456969857
24	1	0.38022196339443326
25	1	0.3850103789009154
26	1	0.3762082760222256
27	1	0.4048939528875053
28	1	0.39838847797363997
29	1	0.3872136129066348
30	1	0.39049073914065957
31	1	0.3839807007461786
32	1	0.3966291695833206
1	2	5.679483457934111
2	2	2.211382099892944
3	2	1.5204011551104486
4	2	1.0775584476068616
5	2	0.8096768385730684
6	2	0.6735089528374374
7	2	0.5743010649457574
8	2	0.48960189102217555
9	2	0.44389783404767513
10	2	0.3905959469266236
11	2	0.485009313095361
12	2	0.34469868801534176
13	2	0.3183117271400988
14	2	0.31806687731295824
15	2	0.30495314579457045
16	2	0.30554751120507717
17	2	0.31359119480475783
18	2	0.3240008931607008
19	2	0.3229595338925719
20	2	0.3553847251459956
21	2	0.3375219879671931
22	2	0.3190985908731818
23	2	0.3594455081038177
24	2	0.3628700361587107
25	2	0.37854359624907374
26	2	0.38377285096794367
27	2	0.3934868397191167
28	2	0.4014016534201801
29	2	0.3857696847990155
30	2	0.39664947614073753
31	2	0.3865013401955366
32	2	0.39128359500318766
1	3	7.631723525002599
2	3	2.2678627488203347
3	3	1.5653857039287686
4	3	1.09857461694628
5	3	0.822700812947005
6	3	0.6777095976285636
7	3	0.5915878373198211
8	3	0.5007495172321796
9	3	0.4444182221777737
10	3	0.3940938860177994
11	3	0.36350322468206286
12	3	0.34119444573298097
13	3	0.3190534869208932
14	3	0.3160534747876227
15	3	0.30438392935320735
16	3	0.3027402050793171
17	3	0.30160826025530696
18	3	0.3191601950675249
19	3	0.3340913322754204
20	3	0.3623299952596426
21	3	0.34400982363149524
22	3	0.3778378749266267
23	3	0.33677845587953925
24	3	0.34284701803699136
25	3	0.36951518384739757
26	3	0.3651483915746212
27	3	0.3821706436574459
28	3	0.38991136010736227
29	3	0.3988951416686177
30	3	0.3983618598431349
31	3	0.3841225760988891
32	3	0.4073683978058398
